animal_name,class_name
aardvark,Mammal
antelope,Mammal
bass,Fish
bear,Mammal
boar,Mammal
buffalo,Mammal
calf,Mammal
carp,Fish
catfish,Fish
cavy,Mammal
cheetah,Mammal
chicken,Bird
chub,Fish
clam,Invertebrate
crab,Invertebrate
crayfish,Invertebrate
crow,Bird
deer,Mammal
dogfish,Fish
dolphin,Mammal
dove,Bird
duck,Bird
elephant,Mammal
flamingo,Bird
flea,Bug
frog,Amphibian
frog,Amphibian
fruitbat,Mammal
giraffe,Mammal
girl,Mammal
gnat,Bug
goat,Mammal
gorilla,Mammal
gull,Bird
haddock,Fish
hamster,Mammal
hare,Mammal
hawk,Bird
herring,Fish
honeybee,Bug
housefly,Bug
kiwi,Bird
ladybird,Bug
lark,Bird
leopard,Mammal
lion,Mammal
lobster,Invertebrate
lynx,Mammal
mink,Mammal
mole,Mammal
mongoose,Mammal
moth,Bug
newt,Amphibian
octopus,Invertebrate
opossum,Mammal
oryx,Mammal
ostrich,Bird
parakeet,Bird
penguin,Bird
pheasant,Bird
pike,Fish
piranha,Fish
pitviper,Reptile
platypus,Mammal
polecat,Mammal
pony,Mammal
porpoise,Mammal
puma,Mammal
pussycat,Mammal
raccoon,Mammal
reindeer,Mammal
rhea,Bird
scorpion,Invertebrate
seahorse,Fish
seal,Mammal
sealion,Mammal
seasnake,Reptile
seawasp,Invertebrate
skimmer,Bird
skua,Bird
slowworm,Reptile
slug,Invertebrate
sole,Fish
sparrow,Bird
squirrel,Mammal
starfish,Invertebrate
stingray,Fish
swan,Bird
termite,Bug
toad,Amphibian
tortoise,Reptile
tuatara,Reptile
tuna,Fish
vampire,Mammal
vole,Mammal
vulture,Bird
wallaby,Mammal
wasp,Bug
wolf,Mammal
worm,Invertebrate
wren,Bird
